AC,AF,AR,AS,AY,A_Goal_Dif,A_Shots_Faced,A_Shots_Total,Average_away_points,Average_home_points,Away_points,Away_points_elo,FTAG,FTHG,FTR,HC,HF,HR,HS,HY,H_Goal_Dif,H_Shots_Faced,H_Shots_Total,Home_points,Home_points_elo,Season,away_streak_away_team,away_streak_home_team,home_streak_away_team,home_streak_home_team,FTR_H_score,FTR_A_score,FTR_D_score
6,10,0,8,2,-5,6.5,5.0,0.0,3.0,0,1009.8437676262603,1,1,D,8,11,0,16,0,3,10.5,5.0,3,1007.064956645368,2019-2020,0.0,1.0,0.0,0.0,0.41370382905006409,0.31702157855033875,0.26927462220191956
12,15,0,19,1,-23,0.7811881695996881,0.5297042399922037,0.7083333333333334,1.25,17,923.2320969202907,0,0,D,8,10,0,15,2,-12,0.6138579929221917,0.34644982305479277,30,1009.3059540727021,2019-2020,0.08888888888888889,0.4,0.17777777777777778,0.6666666666666666,0.60622602701187134,0.17857296764850616,0.21520091593265533
3,10,0,9,1,-2,0.41432286806495566,0.5294259654939792,1.4090909090909092,1.2272727272727273,31,1012.7647440516664,0,2,H,2,6,0,10,0,-11,0.4687924906094128,0.7822272840164949,27,1005.7211043248725,2018-2019,0.7111111111111111,0.0,0.7111111111111111,0.4222222222222222,0.43232399225234985,0.27414917945861816,0.29352682828903198
5,12,0,10,1,-5,1.229429012345679,2.2942901234567903,1.1111111111111112,1.0,10,1009.3802677681682,2,3,H,0,12,0,8,2,-3,1.0480646494708994,2.4806464947089943,9,980.5424097445937,2019-2020,0.13333333333333333,0.4,0.6666666666666666,0.3,0.44182455539703369,0.24988578259944916,0.30828964710235596
1,19,0,5,3,-11,0.14202774644685479,0.2550266185336267,1.2777777777777777,1.5,46,1024.2434774581466,1,0,A,7,11,0,8,1,3,0.22016763178426138,0.14620237601767172,54,1042.6307877038664,2019-2020,0.2,0.15555555555555556,0.4666666666666667,0.7777777777777778,0.45247024297714233,0.22950074076652527,0.31802898645401001
4,10,0,8,1,-12,0.34644982305479277,0.3147957533150266,1.2608695652173914,1.2608695652173914,29,1009.1361643689845,2,2,D,6,13,0,17,1,-7,0.7294456861126654,0.506696466703968,29,1019.012953769296,2019-2020,0.28888888888888886,0.3111111111111111,0.6666666666666666,0.5333333333333333,0.55414688587188721,0.18785960972309113,0.25799348950386047
5,18,1,10,0,-4,0.5781601354701024,0.4068824384618432,1.2352941176470589,1.3529411764705883,21,997.0522818842113,0,2,H,6,8,0,14,2,-3,0.8219819358473238,0.7956748452518294,23,1013.8884135156078,2018-2019,0.4666666666666667,0.6,0.8,0.24444444444444444,0.45360678434371948,0.29610776901245117,0.25028538703918457
2,7,0,5,2,-4,0.23040529326099185,0.29932174500281256,1.3181818181818181,2.1363636363636362,29,1022.4156793214253,2,2,D,14,9,0,25,1,37,1.1320178728141874,1.0364110747263087,47,1189.155977335027,2019-2020,0.4888888888888889,0.6444444444444445,0.4888888888888889,0.7333333333333333,0.8563191294670105,0.044354617595672607,0.09932631254196167
5,9,0,9,4,0,0.39266746689979654,0.4240192055951177,1.434782608695652,2.217391304347826,33,1025.3449858729716,1,2,H,9,6,0,17,0,25,0.735477950837681,0.6514708201043434,51,1159.4593330352811,2018-2019,0.4,0.6666666666666666,0.3333333333333333,0.8,0.79408705234527588,0.057152099907398224,0.14876088500022888
3,17,0,7,2,-3,2.7,6.5,0.75,0.5,3,977.4020143463032,1,0,A,5,11,0,15,1,-8,3.625,3.125,2,963.0089461358723,2018-2019,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.45991924405097961,0.32054117321968079,0.21953956782817841
4,9,0,12,1,-8,1.3012241712762547,2.3134658840388007,0.7,2.6,7,971.3311402294742,1,6,H,4,14,0,18,1,24,1.7801362083132917,1.5814982914462081,26,1217.7479511512936,2018-2019,0.28888888888888886,0.7333333333333333,0.2,1.0,0.83897370100021362,0.068967379629611969,0.092058949172496796
2,9,0,7,3,-16,0.9207644400352734,1.2868799603174603,0.375,1.375,3,970.1768317911738,1,1,D,11,5,0,12,4,2,1.467201278659612,1.204811507936508,11,1084.8979919739552,2019-2020,0.1,0.23333333333333334,0.1,0.7,0.72427594661712646,0.11755330860614777,0.15817071497440338
1,13,1,7,1,30,0.4383304710915709,1.3282789507398467,2.111111111111111,1.5,38,1188.7275576807767,2,3,H,3,7,0,20,0,4,1.0968130309446817,0.8394475879489516,27,1049.485742460232,2019-2020,0.6,0.5111111111111111,0.8666666666666667,0.5777777777777777,0.24186410009860992,0.48180022835731506,0.27633568644523621
1,7,0,3,1,-13,0.13431316110462505,0.4921421887202515,0.96,2.04,24,980.7090487064186,0,2,H,6,5,0,20,0,36,0.7981494883251804,0.7518866964546903,51,1182.3164426410071,2019-2020,0.26666666666666666,0.6666666666666666,0.35555555555555557,0.6222222222222222,0.83216571807861328,0.036263503134250641,0.13157071173191071
5,17,1,11,3,12,0.8900907475919876,1.4612704662878273,2.3076923076923075,2.076923076923077,30,1158.0926175710852,2,4,H,8,15,0,22,3,12,1.6864354736056126,1.610096630478575,27,1123.2046443586353,2018-2019,1.0,0.9111111111111111,0.6,0.8666666666666667,0.404579758644104,0.26207512617111206,0.33334502577781677
