AC,AF,AR,AS,AY,A_Goal_Dif,A_Shots_Faced,A_Shots_Total,Average_away_points,Average_home_points,Away_points,Away_points_elo,FTAG,FTHG,FTR,HC,HF,HR,HS,HY,H_Goal_Dif,H_Shots_Faced,H_Shots_Total,Home_points,Home_points_elo,Season,away_streak_away_team,away_streak_home_team,home_streak_away_team,home_streak_home_team,FTR_H_score,FTR_A_score,FTR_D_score
1,9,0,5,2,-19,0.1367743826614432,0.06065215847339936,1.1111111111111112,1.3888888888888888,40,987.7669235916082,0,2,H,8,8,0,20,0,6,0.5573843045989993,0.6232192701629774,50,1033.2327081266967,2018-2019,0.4888888888888889,0.5555555555555556,0.3333333333333333,0.4888888888888889,0.65499961376190186,0.096137315034866333,0.24886308610439301
5,20,0,15,5,0,16.5,18.0,1.0,1.0,1,1006.3437857254991,1,2,H,2,8,0,13,0,0,9.5,6.0,1,1031.2717059004042,2018-2019,0.0,0.3333333333333333,0.3333333333333333,0.0,0.46559891104698181,0.34170547127723694,0.19269558787345886
13,13,0,18,3,37,0.7971674113672579,1.1320178728141874,2.0869565217391304,1.434782608695652,48,1186.379751064708,1,0,A,5,13,0,4,4,3,0.18948978603654335,0.5477548648770402,33,1033.7567118495263,2019-2020,0.6444444444444445,0.6222222222222222,0.6222222222222222,0.4222222222222222,0.10863777250051498,0.73588573932647705,0.15547645092010498
6,13,1,6,1,23,0.17569053722660144,0.3248593401576526,1.8857142857142857,1.3714285714285714,66,1124.509829269036,0,3,H,8,13,0,24,3,1,0.6756900745511628,0.32484268384186255,48,1018.3372974682317,2018-2019,0.5555555555555556,0.35555555555555557,0.9333333333333333,0.6,0.49973189830780029,0.2408505380153656,0.25941753387451172
5,9,0,16,1,0,16.0,0.0,0.0,0.0,0,1036.9547063883313,0,0,D,8,10,0,18,0,0,18.0,0.0,0,1004.9666388645254,2018-2019,0.0,0.0,0.0,0.0,0.39107862114906311,0.30386748909950256,0.30505383014678955
1,9,0,2,2,-41,0.06457449805433119,0.3246819299559225,0.6,1.7142857142857142,21,904.6232188336987,0,1,H,8,10,0,22,2,14,0.6233579117718397,0.44088482378623056,60,1103.09986310504,2019-2020,0.1111111111111111,0.5111111111111111,0.3333333333333333,0.6666666666666666,0.87742018699645996,0.029558319598436356,0.093021489679813385
3,7,0,13,2,-1,0.7956748452518294,0.5264723692811,1.4375,1.375,23,1022.5404642761101,0,2,H,5,15,0,9,1,-2,0.5789567726412702,0.8422651349015927,22,989.1439604984201,2018-2019,0.4666666666666667,0.4666666666666667,0.24444444444444444,0.4,0.3752301037311554,0.33440127968788147,0.29036861658096313
6,8,0,19,0,-19,0.560945322960841,0.633086303629434,0.9117647058823529,0.6176470588235294,31,974.1642296883186,4,0,A,1,9,0,11,1,-37,0.3246819299559225,0.3638675484572874,21,907.7412345241845,2019-2020,0.022222222222222223,0.1111111111111111,0.5111111111111111,0.26666666666666666,0.25287246704101562,0.50683701038360596,0.24029053747653961
7,11,0,18,1,3,14.0,10.0,3.0,3.0,3,1015.1398924872758,1,2,H,10,13,0,16,2,1,12.0,8.0,3,1103.4541488073528,2019-2020,0.0,1.0,1.0,0.0,0.48890635371208191,0.14583228528499603,0.36526134610176086
7,9,0,14,2,-14,0.500325411109337,0.5094369221707733,0.9642857142857143,1.3703703703703705,27,981.9048873223046,0,1,H,6,11,0,9,1,3,0.33412312551495604,0.35544751441876954,37,1073.8308277349279,2019-2020,0.0,0.3333333333333333,0.5333333333333333,0.5333333333333333,0.62929242849349976,0.14898540079593658,0.22172214090824127
5,13,0,9,1,-14,0.4402969282334004,0.6865324211348087,0.8571428571428571,2.0952380952380953,18,961.7726950095364,1,2,H,8,6,0,10,1,22,0.4927032297008962,0.8394710534197168,44,1152.599539817785,2018-2019,0.6444444444444445,0.4,0.37777777777777777,0.6,0.83154994249343872,0.06480514258146286,0.10364484786987305
7,13,0,16,1,4,17.0,18.0,3.0,3.0,3,1125.0805066548367,2,0,A,6,6,1,8,1,2,9.0,10.0,3,1013.7528704640447,2018-2019,0.0,1.0,1.0,0.0,0.15586464107036591,0.63907521963119507,0.20506010949611664
10,11,0,17,1,0,2.5032490079365077,3.025992063492063,1.2857142857142858,1.7142857142857142,9,1025.3651951176462,2,1,A,2,10,1,8,2,3,1.278844246031746,2.230753968253968,12,1038.3907231623257,2018-2019,0.2777777777777778,0.4,0.6,0.6666666666666666,0.38350540399551392,0.32663530111312866,0.28985923528671265
6,4,0,6,2,-8,0.17838704178435275,0.243546462452346,1.4411764705882353,2.7058823529411766,49,1019.9315735075079,1,1,D,12,7,0,23,1,49,0.6732713336370538,0.5644966772968837,92,1270.5865560497036,2019-2020,0.6222222222222222,0.4666666666666667,0.6,1.0,0.85301005840301514,0.052862260490655899,0.0941275954246521
